"",baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Expression
ENSG00000171940,453.341811068393,0.51788144168808,0.262131315252573,1.97565651852425,0.0481936927244703,0.999424181882359,NS
ENSG00000171988,1061.76091900756,-0.29275903633016,0.199003243524675,-1.47112695825915,0.141256785721419,0.999424181882359,NS
ENSG00000172007,89.1580520080565,-0.196206603094249,0.232776598968798,-0.84289659683768,0.399286277009842,0.999424181882359,NS
ENSG00000172046,244.389059266585,0.00445574717013888,0.153511519404293,0.0290254906435006,0.976844260562581,0.999424181882359,NS
ENSG00000172053,32.807535972997,-0.140350541162444,0.312856435375081,-0.448610050147055,0.653712982550997,0.999424181882359,NS
ENSG00000172057,25.9128292297208,-0.287164383003936,0.362389315097601,-0.792419563823494,0.428116075766317,0.999424181882359,NS
ENSG00000172059,11.2982646176116,-0.454031524635761,0.554226378216098,-0.819216736123537,0.412662767916597,0.999424181882359,NS
ENSG00000172070,113.358655671678,-0.372350873228517,0.346411062816014,-1.07488158779236,0.282427746337463,0.999424181882359,NS
ENSG00000172081,1358.10472852112,0.0909211862354826,0.190515311313692,0.47723821045426,0.633192504822189,0.999424181882359,NS
ENSG00000172086,56.6956257430126,0.0983003435292172,0.294703592430613,0.333556651679982,0.738714133441354,0.999424181882359,NS
ENSG00000172113,16.7862283987064,0.40483524920984,0.438610098365087,0.922995732927394,0.356009428933224,0.999424181882359,NS
ENSG00000172123,11.4815340172471,-0.148607157998049,0.57522136849679,-0.258347770331272,0.79613852181057,0.999424181882359,NS
ENSG00000172159,9.75902337053536,-0.851591584323988,0.700593994571276,-1.21552795331212,0.224164794016957,0.999424181882359,NS
ENSG00000172164,22.1777012365919,-0.276508303697673,0.371943309560406,-0.743415183417262,0.457230354588904,0.999424181882359,NS
ENSG00000172175,26.4167241469916,0.00822720287678137,0.343888039276259,0.0239240739343427,0.980913171554015,0.999424181882359,NS
ENSG00000172183,385.034378982502,-0.393500989072013,0.291881947359815,-1.34815117081197,0.177609765999624,0.999424181882359,NS
ENSG00000172197,64.6937207603257,0.150524383681307,0.225162399795524,0.668514742328213,0.503805074656769,0.999424181882359,NS
ENSG00000172216,2458.3654110905,-0.232807507417807,0.20909384448132,-1.11341157840065,0.265531704531672,0.999424181882359,NS
ENSG00000172232,10.931899608214,0.0409265617150729,0.79512541199203,0.0514718321133008,0.958949546806662,0.999424181882359,NS
ENSG00000172239,7.31093100959923,-0.595671397080784,0.605268760682265,-0.984143633002532,0.325044895864825,0.999424181882359,NS
ENSG00000172243,1540.93681180391,0.00894535446440538,0.166851271782175,0.0536127436660093,0.957243703138407,0.999424181882359,NS
ENSG00000172262,22.399997434044,0.163137076989516,0.359105729379084,0.454287034828405,0.649622246527329,0.999424181882359,NS
ENSG00000172270,497.5899491793,0.335421314691528,0.200775769034599,1.67062647203073,0.0947954803480596,0.999424181882359,NS
ENSG00000172273,12.2158420945933,-0.090805775459697,0.462782383689074,-0.196217009679232,0.844440315039581,0.999424181882359,NS
ENSG00000172322,240.910421839067,0.955973564919138,1.66627777544151,0.573718007290732,0.566158640778292,0.999424181882359,NS
ENSG00000172331,26.7389084732942,-0.0468783179705325,0.327712946836192,-0.143046890344448,0.886253148816434,0.999424181882359,NS
ENSG00000172345,18.303081810883,0.516274928756032,0.411390278000339,1.25495170003897,0.209496294235098,0.999424181882359,NS
ENSG00000172349,622.683550771272,0.232499352301293,0.144818406450397,1.60545443082837,0.108393833969768,0.999424181882359,NS
ENSG00000172354,1409.82463754043,0.123657729520203,0.134720916068299,0.917880705751088,0.35868132387159,0.999424181882359,NS
ENSG00000172375,56.5263648101393,0.0613279327025096,0.315481439201938,0.194394741122168,0.845866807357821,0.999424181882359,NS
ENSG00000172409,45.9695667576738,-0.0833607268379685,0.287323963235634,-0.290128000112557,0.771718315603759,0.999424181882359,NS
ENSG00000172432,127.83228624749,-0.290932720696189,0.253657379899143,-1.14695153285848,0.251401652662072,0.999424181882359,NS
ENSG00000172466,203.715536024156,-0.205032483215039,0.165801439194075,-1.23661461692768,0.216230190732611,0.999424181882359,NS
ENSG00000172493,350.632444820915,-0.296792166487469,0.213828512974951,-1.38799153750949,0.165139622010601,0.999424181882359,NS
ENSG00000172500,14.9475591413094,-0.0529802586208011,0.427328002796281,-0.123980310848148,0.901330864439916,0.999424181882359,NS
ENSG00000172530,99.6718406210878,0.0051910435749094,0.210361601602828,0.0246767638930146,0.98031278916327,0.999424181882359,NS
ENSG00000172531,294.991687150611,0.239366536648235,0.152511547575588,1.56949778855008,0.116531994356438,0.999424181882359,NS
ENSG00000172534,12.8684437926674,-0.347576051054992,0.495555813180196,-0.701386285481037,0.483061978458933,0.999424181882359,NS
ENSG00000172578,44.2671764572182,-0.392460753404377,0.311166667430358,-1.26125576574558,0.207216712705232,0.999424181882359,NS
ENSG00000172586,8.44270366275829,-0.0365939857260564,0.583748683836264,-0.0626879113209627,0.950015023828558,0.999424181882359,NS
ENSG00000172613,34.7692991415042,0.285551704317199,0.303596520287441,0.940563166029843,0.346928765298641,0.999424181882359,NS
ENSG00000172638,13.0172241734735,0.461524309360399,0.47140289896194,0.979044274816097,0.327558103673672,0.999424181882359,NS
ENSG00000172660,104.447407603421,-0.0355316406066128,0.204571083899774,-0.173688479961425,0.86211029157122,0.999424181882359,NS
ENSG00000172661,56.0991005714094,0.524569242555464,0.273696616124484,1.91660843302818,0.0552876958580425,0.999424181882359,NS
ENSG00000172667,17.0388422022458,-0.342769589052288,0.407430587826751,-0.84129566923444,0.40018231620796,0.999424181882359,NS
ENSG00000172671,9.08233584413523,-0.0100013816056016,0.531706282795355,-0.0188099744712835,0.984992696754001,0.999424181882359,NS
ENSG00000172716,7.50214671735937,0.84317808703838,0.675829628410415,1.24761929870044,0.212170507633934,0.999424181882359,NS
ENSG00000172725,81.5692622198467,0.353133635418656,0.278295507083329,1.26891604941692,0.204471007480256,0.999424181882359,NS
ENSG00000172732,29.4069430842955,0.222082493107925,0.338661688784389,0.655765031778706,0.511975318855392,0.999424181882359,NS
ENSG00000172757,1399.21209210976,0.0487339114525533,0.124064886517887,0.392809866033507,0.694459917181775,0.999424181882359,NS
ENSG00000172765,337.955796838792,-0.0123709581295095,0.211786667505922,-0.0584123555802376,0.953420173247676,0.999424181882359,NS
ENSG00000172766,14.0559278472748,-0.0364889488081117,0.451441129299896,-0.0808277014207801,0.935578977592048,0.999424181882359,NS
ENSG00000172771,10.4222196877092,0.322082956867,0.539834588823951,0.596632678851996,0.550752648315569,0.999424181882359,NS
ENSG00000172775,175.962301682865,-0.0449925573202393,0.18380488430075,-0.244784340151813,0.806623419858916,0.999424181882359,NS
ENSG00000172780,69.1129045556725,-0.296403930193813,0.3901412822723,-0.759734854172486,0.447413090385795,0.999424181882359,NS
ENSG00000172785,10.3797242170159,-0.0606440366266766,0.505086317684636,-0.120066678710828,0.904430327934376,0.999424181882359,NS
ENSG00000172794,340.397552581842,0.413549853972411,0.2220869982237,1.86210745014374,0.0625879460936154,0.999424181882359,NS
ENSG00000172795,316.986183416361,0.0241652021335147,0.192335362550817,0.125640973209645,0.900016127997151,0.999424181882359,NS
ENSG00000172803,7.42084397954186,0.393884726363479,0.663080074450113,0.594022866227921,0.552496819214125,0.999424181882359,NS
ENSG00000172809,47.5488954504397,-0.00592417267802253,0.322312045892054,-0.0183802397506626,0.985335516175355,0.999424181882359,NS
ENSG00000172831,27.4039435654971,0.0236920538885406,0.330021411322689,0.0717894447926439,0.942769472981885,0.999424181882359,NS
ENSG00000172845,518.507311919235,-0.0334080405587522,0.137878128944556,-0.242301232359966,0.80854675893723,0.999424181882359,NS
ENSG00000172869,22.3670409150131,-0.0874049863357568,0.375930359234564,-0.232503133063589,0.816147254053367,0.999424181882359,NS
ENSG00000172890,253.874712193945,0.126450467385367,0.171603386718381,0.736876292499313,0.46119758234172,0.999424181882359,NS
ENSG00000172922,17.023426602575,-0.799994342077665,0.464083307333308,-1.72381624039561,0.0847410218412571,0.999424181882359,NS
ENSG00000172932,751.280431051383,0.240052924451662,0.128760654277088,1.86433445682155,0.0622747508858328,0.999424181882359,NS
ENSG00000172936,969.929762245433,-0.0263234427745769,0.180539638415914,-0.145804228952397,0.884075937363256,0.999424181882359,NS
ENSG00000172939,142.871216631079,0.117361817835532,0.199840391660207,0.587277761320068,0.557017174344376,0.999424181882359,NS
ENSG00000172943,94.5416881469256,0.105650542073876,0.192668784225351,0.548353188082111,0.583449412808574,0.999424181882359,NS
ENSG00000172954,9.70533146113301,0.195949653000594,0.522786257761472,0.374817910936746,0.707795892768847,0.999424181882359,NS
ENSG00000172965,37.9032459463819,0.0684849544185857,0.31351526339522,0.218442169854592,0.827084611969052,0.999424181882359,NS
ENSG00000172977,39.5794067667268,-0.324748903182892,0.288657481136166,-1.12503199953339,0.26057547461009,0.999424181882359,NS
ENSG00000172985,18.296851005581,-0.299632241649278,0.433916146932418,-0.690530287401233,0.489860770073834,0.999424181882359,NS
ENSG00000173011,181.735587827944,-0.179723467439784,0.159584333702575,-1.12619743598857,0.260081958574706,0.999424181882359,NS
